LAMMPS (24 Mar 2022)
Reading data file ...
  orthogonal box = (0 0 0) to (17.90955 17.90955 17.90955)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  365 atoms
  read_data CPU = 0.030 seconds
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.450959
  ghost atom cutoff = 6.450959
  binsize = 3.2254795, bins = 6 6 6
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair adp, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.776 | 6.776 | 6.776 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   0             -1169.9166      0             -1169.9166     -22822.181    
         1   0.022234871   -1169.9177      0             -1169.9166     -22825.957    
         2   0.088896977   -1169.9208      0             -1169.9166     -22837.281    
         3   0.19985894    -1169.926       0             -1169.9166     -22856.144    
         4   0.35490891    -1169.9333      0             -1169.9166     -22882.531    
         5   0.55375131    -1169.9427      0             -1169.9166     -22916.422    
         6   0.79600777    -1169.9541      0             -1169.9166     -22957.789    
         7   1.0812184     -1169.9675      0             -1169.9166     -23006.601    
         8   1.4088432     -1169.9829      0             -1169.9166     -23062.82     
         9   1.778264      -1170.0003      0             -1169.9166     -23126.402    
        10   2.1887862     -1170.0196      0             -1169.9166     -23197.297    
        11   2.6396414     -1170.0408      0             -1169.9166     -23275.453    
        12   3.1299895     -1170.0639      0             -1169.9167     -23360.809    
        13   3.6589214     -1170.0888      0             -1169.9167     -23453.301    
        14   4.2254624     -1170.1155      0             -1169.9167     -23552.862    
        15   4.8285745     -1170.1438      0             -1169.9167     -23659.417    
        16   5.4671601     -1170.1739      0             -1169.9167     -23772.891    
        17   6.1400655     -1170.2056      0             -1169.9167     -23893.201    
        18   6.8460842     -1170.2388      0             -1169.9167     -24020.264    
        19   7.5839606     -1170.2735      0             -1169.9167     -24153.991    
        20   8.352394      -1170.3097      0             -1169.9167     -24294.29     
        21   9.1500422     -1170.3472      0             -1169.9167     -24441.067    
        22   9.9755259     -1170.386       0             -1169.9167     -24594.224    
        23   10.827432     -1170.4261      0             -1169.9167     -24753.665    
        24   11.70432      -1170.4674      0             -1169.9167     -24919.287    
        25   12.604722     -1170.5098      0             -1169.9167     -25090.988    
        26   13.527151     -1170.5532      0             -1169.9167     -25268.668    
        27   14.470104     -1170.5975      0             -1169.9167     -25452.224    
        28   15.432063     -1170.6428      0             -1169.9167     -25641.551    
        29   16.411504     -1170.6889      0             -1169.9167     -25836.542    
        30   17.406901     -1170.7357      0             -1169.9167     -26037.093    
        31   18.416725     -1170.7832      0             -1169.9167     -26243.099    
        32   19.439454     -1170.8314      0             -1169.9167     -26454.455    
        33   20.473574     -1170.88        0             -1169.9167     -26671.059    
        34   21.517584     -1170.9292      0             -1169.9167     -26892.805    
        35   22.57         -1170.9787      0             -1169.9167     -27119.589    
        36   23.629361     -1171.0285      0             -1169.9167     -27351.312    
        37   24.694229     -1171.0786      0             -1169.9168     -27587.874    
        38   25.763197     -1171.1289      0             -1169.9168     -27829.176    
        39   26.834888     -1171.1794      0             -1169.9168     -28075.119    
        40   27.907964     -1171.2299      0             -1169.9168     -28325.614    
        41   28.981126     -1171.2803      0             -1169.9168     -28580.568    
        42   30.053119     -1171.3308      0             -1169.9168     -28839.89     
        43   31.122736     -1171.3811      0             -1169.9168     -29103.492    
        44   32.188817     -1171.4313      0             -1169.9168     -29371.295    
        45   33.250259     -1171.4812      0             -1169.9168     -29643.213    
        46   34.306012     -1171.5309      0             -1169.9168     -29919.169    
        47   35.355086     -1171.5803      0             -1169.9168     -30199.088    
        48   36.396552     -1171.6293      0             -1169.9168     -30482.9      
        49   37.429545     -1171.6779      0             -1169.9168     -30770.537    
        50   38.453263     -1171.726       0             -1169.9168     -31061.93     
        51   39.466973     -1171.7737      0             -1169.9168     -31357.013    
        52   40.47001      -1171.8209      0             -1169.9168     -31655.743    
        53   41.461777     -1171.8676      0             -1169.9168     -31958.089    
        54   42.441747     -1171.9137      0             -1169.9168     -32264.016    
        55   43.409461     -1171.9592      0             -1169.9168     -32573.483    
        56   44.364533     -1172.0042      0             -1169.9168     -32886.487    
        57   45.306642     -1172.0485      0             -1169.9168     -33202.987    
        58   46.23554      -1172.0922      0             -1169.9168     -33522.955    
        59   47.151044     -1172.1353      0             -1169.9168     -33846.363    
        60   48.053041     -1172.1777      0             -1169.9168     -34173.181    
        61   48.941478     -1172.2195      0             -1169.9168     -34503.388    
        62   49.816369     -1172.2607      0             -1169.9168     -34836.955    
        63   50.677785     -1172.3012      0             -1169.9168     -35173.864    
        64   51.525855     -1172.3411      0             -1169.9168     -35514.094    
        65   52.36076      -1172.3804      0             -1169.9168     -35857.631    
        66   53.182732     -1172.4191      0             -1169.9168     -36204.464    
        67   53.992046     -1172.4572      0             -1169.9168     -36554.581    
        68   54.789019     -1172.4947      0             -1169.9168     -36907.971    
        69   55.574005     -1172.5316      0             -1169.9168     -37264.62     
        70   56.347388     -1172.568       0             -1169.9168     -37624.526    
        71   57.109577     -1172.6038      0             -1169.9168     -37987.679    
        72   57.861003     -1172.6392      0             -1169.9168     -38354.076    
        73   58.60211      -1172.6741      0             -1169.9168     -38723.705    
        74   59.333355     -1172.7085      0             -1169.9168     -39096.557    
        75   60.055196     -1172.7424      0             -1169.9168     -39472.628    
        76   60.768092     -1172.776       0             -1169.9168     -39851.911    
        77   61.472493     -1172.8091      0             -1169.9168     -40234.393    
        78   62.168838     -1172.8419      0             -1169.9168     -40620.061    
        79   62.857549     -1172.8743      0             -1169.9168     -41008.899    
        80   63.539027     -1172.9063      0             -1169.9168     -41400.899    
        81   64.213645     -1172.9381      0             -1169.9168     -41796.043    
        82   64.881745     -1172.9695      0             -1169.9168     -42194.303    
        83   65.543634     -1173.0007      0             -1169.9168     -42595.653    
        84   66.199576     -1173.0315      0             -1169.9168     -43000.07     
        85   66.849795     -1173.0621      0             -1169.9168     -43407.507    
        86   67.494467     -1173.0924      0             -1169.9168     -43817.921    
        87   68.133723     -1173.1225      0             -1169.9168     -44231.265    
        88   68.767641     -1173.1523      0             -1169.9168     -44647.507    
        89   69.396251     -1173.1819      0             -1169.9168     -45066.598    
        90   70.01953      -1173.2112      0             -1169.9168     -45488.48     
        91   70.637406     -1173.2403      0             -1169.9168     -45913.088    
        92   71.249755     -1173.2691      0             -1169.9168     -46340.359    
        93   71.856405     -1173.2977      0             -1169.9168     -46770.213    
        94   72.457139     -1173.3259      0             -1169.9168     -47202.574    
        95   73.051692     -1173.3539      0             -1169.9168     -47637.36     
        96   73.63976      -1173.3816      0             -1169.9168     -48074.483    
        97   74.220999     -1173.4089      0             -1169.9168     -48513.849    
        98   74.795028     -1173.4359      0             -1169.9168     -48955.364    
        99   75.361437     -1173.4626      0             -1169.9168     -49398.925    
       100   75.919789     -1173.4889      0             -1169.9168     -49844.434    
       101   76.469623     -1173.5147      0             -1169.9168     -50291.799    
       102   77.010459     -1173.5402      0             -1169.9168     -50740.913    
       103   77.541804     -1173.5652      0             -1169.9168     -51191.655    
       104   78.063157     -1173.5897      0             -1169.9168     -51643.924    
       105   78.574012     -1173.6138      0             -1169.9168     -52097.62     
       106   79.073865     -1173.6373      0             -1169.9168     -52552.643    
       107   79.562216     -1173.6602      0             -1169.9168     -53008.885    
       108   80.038575     -1173.6827      0             -1169.9168     -53466.243    
       109   80.502468     -1173.7045      0             -1169.9168     -53924.606    
       110   80.953437     -1173.7257      0             -1169.9168     -54383.866    
       111   81.391051     -1173.7463      0             -1169.9168     -54843.914    
       112   81.814904     -1173.7662      0             -1169.9168     -55304.636    
       113   82.224622     -1173.7855      0             -1169.9168     -55765.926    
       114   82.619863     -1173.8041      0             -1169.9168     -56227.677    
       115   83.000323     -1173.822       0             -1169.9168     -56689.79     
       116   83.365736     -1173.8392      0             -1169.9168     -57152.167    
       117   83.715878     -1173.8557      0             -1169.9168     -57614.711    
       118   84.050568     -1173.8714      0             -1169.9168     -58077.327    
       119   84.369668     -1173.8865      0             -1169.9168     -58539.928    
       120   84.673086     -1173.9007      0             -1169.9168     -59002.423    
       121   84.960775     -1173.9143      0             -1169.9168     -59464.728    
       122   85.232734     -1173.9271      0             -1169.9168     -59926.761    
       123   85.489008     -1173.9391      0             -1169.9168     -60388.446    
       124   85.729685     -1173.9504      0             -1169.9168     -60849.71     
       125   85.954899     -1173.961       0             -1169.9168     -61310.483    
       126   86.164825     -1173.9709      0             -1169.9168     -61770.7      
       127   86.359678     -1173.9801      0             -1169.9168     -62230.303    
       128   86.539713     -1173.9886      0             -1169.9168     -62689.233    
       129   86.70522      -1173.9963      0             -1169.9168     -63147.441    
       130   86.856523     -1174.0035      0             -1169.9168     -63604.873    
       131   86.993976     -1174.0099      0             -1169.9168     -64061.482    
       132   87.117963     -1174.0158      0             -1169.9168     -64517.227    
       133   87.228889     -1174.021       0             -1169.9168     -64972.067    
       134   87.327183     -1174.0256      0             -1169.9168     -65425.969    
